MANIFESTID,TRUCKNO,DRIVER,ManIfestPool,SHIPDATE,Company,TRAILER,STATUS,ManIfest Warehouse,ManIfestName,ManIfestWeIght,CREATEDDATETIME,POSTINGSTARTDATETIME,POSTINGSTARTDATETIMETZID,POSTINGENDDATETIME,POSTINGENDDATETIMETZID,INVENTTRANSID,SALESID,STOPNUMBER,CustAccount,SCANNEDQTY,REASON,PACKINGSLIPID,SCANNEDERRORSQTY,LIneWeIght,PRODUCTDESCRIPTION,PICKEDQTY,PRODUCTINDICATOR,MANIFESTSTOPTYPE,ReferenceNumber,REMAINSALESPHYSICAL,DELIVERYNAME,BIllIngSQFTtotal,SaleAmount,ManIfestPostedDate,ShIp date From PS
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599206639,SO10077622,40,15677,1,,SS12354676,0,81.66761719,79 1/2 X 30 3/8 {Shape:23} 81.67<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959560,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599206919,SO10077622,40,15677,1,,SS12354676,0,25.58229601,79 5/8 X 9 1/2 {Shape:04} 25.58<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988871,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599207116,SO10077622,40,15677,1,,SS12354676,0,80.89095893,79 9/16 X 30 1/16 {Shape:17} 80.89<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959561,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599207470,SO10077622,40,15677,1,,SS12354676,0,25.26550293,9 3/8 X 79 11/16 {Shape:00} 25.27<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988872,1,,5.56,74.92,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599207777,SO10077622,40,15677,1,,SS12354676,0,81.37143283,79 3/8 X 30 5/16 {Shape:23} 81.37<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959562,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599208237,SO10077622,40,15677,1,,SS12354676,0,24.36585286,79 1/2 X 9 1/16 {Shape:22} 24.37<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988873,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599208362,SO10077622,40,15677,1,,SS12354676,0,80.659375,79 1/2 X 30 {Shape:19} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959563,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599208558,SO10077622,40,15677,1,,SS12354676,0,25.24568685,79 5/8 X 9 3/8 {Shape:04} 25.25<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988874,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599208656,SO10077622,40,15677,1,,SS12354676,0,80.659375,79 1/2 X 30 {Shape:19} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55959564,1,,16.67,240.06,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599208973,SO10077622,40,15677,1,,SS12354676,0,23.89925022,8 7/8 X 79 5/8 {Shape:00} 23.90<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988875,1,,5.56,74.92,14:54.0,9/22/2023
