stop_number,description,quantity,weight,square_footage,length,width,thickness
40,79 5/8 X 9 1/2 {Shape:04} 25.58<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.58229601,5.56,79.625,9.5,0.375
40,79 9/16 X 30 1/16 {Shape:17} 80.89<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.89095893,17.78,79.5625,30.0625,0.375
40,9 3/8 X 79 11/16 {Shape:00} 25.27<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.26550293,5.56,79.6875,9.375,0.375
40,79 3/8 X 30 5/16 {Shape:23} 81.37<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.37143283,17.78,79.375,30.3125,0.375
40,79 1/2 X 9 1/16 {Shape:22} 24.37<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.36585286,5.56,79.5,9.0625,0.375
40,79 1/2 X 30 {Shape:19} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.659375,16.67,79.5,30,0.375
40,79 5/8 X 9 3/8 {Shape:04} 25.25<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.24568685,5.56,79.625,9.375,0.375
40,79 1/2 X 30 {Shape:19} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.659375,16.67,79.5,30,0.375
40,8 7/8 X 79 5/8 {Shape:00} 23.90<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,1,23.89925022,5.56,79.625,8.875,0.375
40,79 11/16 X 9 3/16 {Shape:03} 24.76<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.76019287,5.56,79.6875,9.1875,0.375
40,79 9/16 X 30 {Shape:04} 80.72<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.72278646,16.67,79.5625,30,0.375
40,79 1/2 X 30 3/8 {Shape:23} 81.67<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.66761719,17.78,79.5,30.375,0.375
40,9 7/16 X 79 5/8 {Shape:03} 25.41<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.41399143,5.56,79.625,9.4375,0.375
40,79 5/8 X 9 1/2 {Shape:19} 25.58<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.58229601,5.56,79.625,9.5,0.375
40,79 1/2 X 30 {Shape:22} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.659375,16.67,79.5,30,0.375
40,79 9/16 X 9 3/8 {Shape:23} 25.23<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.22587077,5.56,79.5625,9.375,0.375
40,79 7/16 X 30 1/16 {Shape:24} 80.76<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.7638718,17.78,79.4375,30.0625,0.375
40,79 5/8 X 8 7/8 {Shape:19} 23.90<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,23.89925022,5.56,79.625,8.875,0.375
40,79 1/2 X 30 {Shape:22} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.659375,16.67,79.5,30,0.375
40,30 X 79 9/16 {Shape:00} 80.72<BR>Shower Glass- 3/8<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.72278646,16.67,79.5625,30,0.375
40,79 11/16 X 9 3/16 {Shape:22} 24.76<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.76019287,5.56,79.6875,9.1875,0.375
40,79 9/16 X 30 1/4 {Shape:03} 81.40<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.39547635,17.78,79.5625,30.25,0.375
40,9 3/8 X 79 11/16 {Shape:00} 25.27<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.26550293,5.56,79.6875,9.375,0.375
40,79 1/2 X 30 1/4 {Shape:23} 81.33<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.33153646,17.78,79.5,30.25,0.375
40,79 5/8 X 9 3/16 {Shape:18} 24.74<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.74077311,5.56,79.625,9.1875,0.375
40,79 9/16 X 30 5/8 {Shape:03} 82.40<BR>Shower Glass- 3/8<BR>Holes < 1<BR>Triangles & Traps<BR>Notches<BR>Polishing        Side: 1 2 3 4<BR>3101,1,82.40451118,17.78,79.5625,30.625,0.375
40,79 11/16 X 9 1/16 {Shape:22} 24.42<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.4233195,5.56,79.6875,9.0625,0.375
40,30 X 79 5/8 {Shape:04} 80.79<BR>Shower Glass- 3/8<BR>Holes < 1<BR>Triangles & Traps<BR>Notches<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.78619792,16.67,79.625,30,0.375
40,79 3/4 X 9 1/4 {Shape:22} 24.95<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.94818142,5.56,79.75,9.25,0.375
40,79 1/2 X 30 {Shape:19} 80.66<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.659375,16.67,79.5,30,0.375
40,79 5/8 X 9 5/8 {Shape:18} 25.92<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.91890516,5.56,79.625,9.625,0.375
40,9 1/8 X 79 11/16 {Shape:04} 24.59<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.59175618,5.56,79.6875,9.125,0.375
40,79 9/16 X 30 3/16 {Shape:04} 81.23<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.22730387,17.78,79.5625,30.1875,0.375
40,9 5/8 X 79 11/16 {Shape:00} 25.94<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.93924967,5.56,79.6875,9.625,0.375
40,79 9/16 X 30 1/4 {Shape:04} 81.40<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.39547635,17.78,79.5625,30.25,0.375
40,79 5/8 X 9 1/8 {Shape:21} 24.57<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.57246853,5.56,79.625,9.125,0.375
40,79 1/2 X 30 1/4 {Shape:24} 81.33<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.33153646,17.78,79.5,30.25,0.375
40,79 5/8 X 9 5/16 {Shape:17} 25.08<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,25.07738227,5.56,79.625,9.3125,0.375
40,79 1/2 X 30 1/8 {Shape:24} 81.00<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,80.99545573,17.78,79.5,30.125,0.375
40,79 5/8 X 9 {Shape:23} 24.24<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,1,24.23585938,5.56,79.625,9,0.375
40,79 1/2 X 30 1/4 {Shape:18} 81.33<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.33153646,17.78,79.5,30.25,0.375
40,25 1/4 X 44 1/4 {Shape:00} 50.36<BR>1/2 Clear Annealed<BR>Seam             Side: 1 2 3<BR>3101,1,50.35665365,8.31,44.25,25.25,0.5
40,24 X 24 {Shape:00} 12.96<BR>1/4 Clear Annealed<BR>3101,1,12.96,4,24,24,0.25
40,22 X 64 {Shape:00}<BR>1/8 Clear Tempered -  1/4 Lpx Clear Ano Presert (14CA) -  1/8 Comfort Select 73 Tempered<BR>Breather Tubes<BR>Muntins      1V/4H<BR>Seal        Dual Polysulfide<BR>3101,1,31.68,9.78,64,22,0.125
40,20 X 44 {Shape:00}<BR>1/8 Pattern-62 Tempered -  1/2 Lpx Clear Ano Spacer -  1/8 Clear Tempered<BR>Breather Tubes<BR>Muntins      1V/3H<BR>Seal        Dual Polysulfide<BR>3101,1,20.01333333,6.11,44,20,0.125
40,33 3/8 X 44 7/8 {Shape:00}<BR>1/8 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/8 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,1,33.95915365,10.86,44.875,33.375,0.125
40,33 3/8 X 44 7/8 {Shape:00}<BR>1/8 Clear Tempered -  1/2 Lpx Clear Ano Spacer -  1/8 Clear Tempered<BR>Breather Tubes<BR>Seal        Dual Polysulfide<BR>3101,1,33.95915365,10.86,44.875,33.375,0.125
41,23 1/2 X 84 {Shape:00} 44.42<BR>1/4 Clear Tempered<BR>3101,2,88.83,28,84,23.5,0.25
41,33 3/8 X 62 3/4 {Shape:00} 47.12<BR>1/4 Bronze Heat Strength<BR>3101,1,47.12132813,15.11,62.75,33.375,0.25
42,30 15/16 X 83 15/16 {Shape:00} 73.22<BR>5/16 Firelite Standard Plus Lami Cut Size<BR>3101,5,366.0789795,93.35,83.9375,30.9375,0.3125
42,30 13/16 X 81 1/16 {Shape:00}<BR>3/16 Solarban 60 VT Tempered -  1/2 Stainless Steel Spacer -  5/16 Firelite Standard Plus Lami Cut Size<BR>Seal        Dual Polysulfide<BR>3101,2,225.8891867,36.44,81.1875,30.8125,0.3125
56,40 X 67 5/8 {Shape:03} 60.86<BR>1/4 Vitro Mirror Annealed<BR>Triangles & Traps<BR>Outlet<BR>Polishing        Side: 1 2 3 4<BR>3101,1,60.8625,18.89,67.625,40,0.25
56,40 X 67 7/16 {Shape:19} 60.69<BR>1/4 Vitro Mirror Annealed<BR>Triangles & Traps<BR>Outlet<BR>Polishing        Side: 1 2 3 4<BR>3101,1,60.69375,19.83,67.4375,40,0.25
56,40 X 67 7/8 {Shape:17} 61.09<BR>1/4 Vitro Mirror Annealed<BR>Triangles & Traps<BR>Outlet<BR>Polishing        Side: 1 2 3 4<BR>3101,1,61.0875,18.89,67.875,40,0.25
57,33 11/16 X 71 5/8 {Shape:00} 81.60<BR>Shower Glass- 3/8<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.6018278,17,71.625,33.6875,0.375
57,33 11/16 X 71 5/8 {Shape:00} 81.60<BR>Shower Glass- 3/8<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,1,81.6018278,17,71.625,33.6875,0.375
57,73 7/8 X 42 {Shape:D} 69.81<BR>1/4 Clear Tempered<BR>Digitized Pattern<BR>Holes 1 - 3<BR>3101,1,69.811875,21.58,73.875,42,0.25
67,43 X 18 {Shape:00} 26.18<BR>3/8 Clear Tempered<BR>Polishing        Side: 1<BR>3101,3,78.52875,16.5,43,18,0.375
67,1/4 Clear 48 X 130<BR>3101,4,561.6,173.32,130,48,0.25
67,23 13/16 X 15 1/2 {Shape:00} 4.15<BR>1/8 Clear Tempered<BR>3101,1,4.152304688,3,23.8125,15.5,0.125
73,38 X 28 {Shape:D} 11.97<BR>1/8 Clear Tempered<BR>Digitized Pattern<BR>3101,1,11.97,7.39,38,28,0.125
73,1/4 Bronze Laminated 48 X 84<BR>3101,8,672,224,84,48,0.25
